id,name,name_sk,description,years_of_study,slug,is_in_combination,academic_degree_id,faculty_id,direction_id,direction_2_id,created_at,updated_at
274,Инвестиционное планирование промышленного предприятия,Investičné plánovanie v priemyselnom podniku,,2,,0,3,108,2,,,
275,Инвестиционное планирование промышленного предприятия,Investičné plánovanie v priemyselnom podniku,,3,,0,1,108,2,,,
276,Инженерия в сфере деревообработки,Drevárske inžinierstvo,,2,,0,3,2,31,,,
277,Инженерия материалов,Materiálové inžinierstvo,,2,,0,3,29,20,,,
278,Инженерия окружающей среды,Inžinierstvo životného prostredia,,2,,0,3,37,14,,,
279,Инженерия окружающей среды,Inžinierstvo prostredia,,2,,0,3,102,20,,,
280,Инженерная геодезия и работа с регистром земли,Inžinierska geodézia a kataster nehnuteľností,,2,,0,3,9,15,,,
281,Инженерная геология и гидрогеология,Inžinierska geológia a hydrogeológia,,2,,0,4,94,15,,,
282,Инженерная химических и экологических технологий,Inžinierstvo chemických a environmentálnych technológií,,3,,0,1,12,27,,,
283,Инженерное и экологическое строительство,Inžinierske a environmentálne staviteľstvo,,3,,0,1,98,25,,,
284,Инженерные и транспортные сооружения,Inžinierske konštrukcie a dopravné stavby,,2,,0,3,98,25,,,
285,Инженерные и транспортные сооружения,Inžinierske konštrukcie a dopravné stavby,,3,,0,1,98,25,,,
286,Инженерные конструкции и транспортные сооружения,Inžinierske konštrukcie a dopravné stavby,,3,,0,1,99,25,,,
287,Инженерные технологии,Strojárske technológie,,2,,0,3,102,20,,,
288,Инженерные технологии,Strojárske technológie,,2,,0,3,103,20,,,
289,Инженерные технологии,Strojárske technológie,,3,,0,1,103,20,,,
290,Инженерные технологии и материалы,Strojárske technológie a materiály,,2,,0,3,101,20,,,
291,Инженерные технологии и материалы,Strojárske technológie a materiály,,3,,0,1,101,20,,,
292,Инженерство материалов,Materiálové inžinierstvo,,3,,0,1,35,20,,,
293,Инженерство материалов,Materiálové inžinierstvo,,2,,0,3,35,20,,,
294,Иностранные языки и межкультурная коммуникация,Cudzie jazyky a interkultúrna komunikácia,,2,,0,4,7,3,,,
295,Иностранные языки и межкультурная коммуникация,Cudzie jazyky a interkultúrna komunikácia,,3,,0,1,7,3,,,
