id,name,name_sk,description,years_of_study,slug,is_in_combination,academic_degree_id,faculty_id,direction_id,direction_2_id,created_at,updated_at
868,преподавание философии,učiteľstvo filozofie (v kombinácii),,2,,1,4,63,9,,,
869,преподавание философии,učiteľstvo filozofie (v kombinácii),,2,,1,4,64,9,,,
870,преподавание философии,učiteľstvo filozofie (v kombinácii),,2,,1,4,66,9,,,
871,преподавание философии,učiteľstvo filozofie (v kombinácii),,3,,1,1,66,9,,,
872,преподавание философии и гражданской доктрины,učiteľstvo filozofie a občianskej náuky (v kombinácii),,3,,1,1,68,9,,,
873,преподавание философии и гражданской науки,učiteľstvo filozofie a občianskej náuky (v kombinácii),,2,,1,4,68,9,,,
874,преподавание французского языка и литературы,učiteľstvo francúzskeho jazyka a literatúry (v kombinácii),,3,,1,1,64,9,,,
875,преподавание французского языка и литературы,učiteľstvo francúzskeho jazyka a literatúry (v kombinácii),,2,,1,4,64,9,,,
876,преподавание французского языка и литературы,učiteľstvo francúzskeho jazyka a literatúry (v kombinácii),,3,,1,1,68,9,,,
877,преподавание французского языка и литературы,učiteľstvo francúzskeho jazyka a literatúry (v kombinácii),,2,,1,4,68,9,,,
878,преподавание французского языка и литературы,učiteľstvo francúzskeho jazyka a literatúry (v kombinácii),,2,,1,4,70,9,,,
879,преподавание французского языка и литературы,učiteľstvo francúzskeho jazyka a literatúry (v kombinácii),,3,,1,1,70,9,,,
880,преподавание химии,učiteľstvo chémie (v kombinácii),,3,,1,1,36,9,,,
881,преподавание химии,učiteľstvo chémie (v kombinácii),,2,,1,4,36,9,,,
882,преподавание химии,učiteľstvo chémie (v kombinácii),,2,,1,4,38,9,,,
883,преподавание химии,učiteľstvo chémie (v kombinácii),,3,,1,1,38,9,,,
884,преподавание химии,učiteľstvo chémie (v kombinácii),,3,,1,1,82,9,,,
885,преподавание химии,učiteľstvo chémie (v kombinácii),,3,,1,1,84,9,,,
886,преподавание химии,učiteľstvo chémie (v kombinácii),,2,,1,4,84,9,,,
887,преподавание химии,učiteľstvo chémie (v kombinácii),,3,,1,1,94,9,,,
888,преподавание химии,učiteľstvo chémie (v kombinácii),,2,,1,4,94,9,,,
889,преподавание химии,učiteľstvo chémie (v kombinácii),,2,,1,4,95,9,,,
890,преподавание художественного образования,učiteľstvo výtvarnej výchovy (v kombinácii),,3,,1,1,82,9,,,
891,преподавание художественного образования,učiteľstvo výtvarnej výchovy (v kombinácii),,2,,1,4,82,9,,,
892,преподавание экологии,učiteľstvo ekológie (v kombinácii),,3,,1,1,38,9,,,
893,преподавание экологии,učiteľstvo ekológie (v kombinácii),,2,,1,4,38,9,,,
894,преподавание эстетики,učiteľstvo estetiky (v kombinácii),,2,,1,4,64,9,,,
895,преподавание эстетики,učiteľstvo estetiky (v kombinácii),,3,,1,1,64,9,,,
896,преподавание эстетического воспитания,učiteľstvo estetickej výchovy (v kombinácii),,3,,1,1,67,9,,,
897,преподавание эстетического воспитания,učiteľstvo estetickej výchovy (v kombinácii),,2,,1,4,67,9,,,
898,преподавание этического воспитание,učiteľstvo etickej výchovy (v kombinácii),,2,,1,4,84,9,,,
899,преподавание этического воспитание,učiteľstvo etickej výchovy (v kombinácii),,3,,1,1,84,9,,,
900,преподавание этического воспитания,učiteľstvo etickej výchovy (v kombinácii),,2,,1,4,67,9,,,
901,преподавание этического воспитания,učiteľstvo etickej výchovy (v kombinácii),,3,,1,1,67,9,,,
902,преподавание этического воспитания,učiteľstvo etickej výchovy (v kombinácii),,2,,1,4,69,9,,,
903,прикладная биология,aplikovaná biológia,,3,,0,1,11,13,,,
904,прикладная биология,aplikovaná biológia,,2,,0,3,11,13,,,
905,прикладная биология,aplikovaná biológia,,3,,0,1,37,13,,,
906,прикладная биология,aplikovaná biológia,,2,,0,4,37,13,,,
907,прикладная геофизика,aplikovaná geofyzika,,2,,0,4,94,15,,,
908,прикладная зоология,aplikovaná zoológia a poľovníctvo,,3,,0,1,77,31,,,
909,прикладная зоология,aplikovaná zoológia a poľovníctvo,,2,,0,3,77,31,,,
910,прикладная информатика,aplikovaná informatika,,3,,0,1,18,22,,,
911,прикладная информатика,aplikovaná informatika,,2,,0,3,18,22,,,
912,прикладная информатика,aplikovaná informatika,,2,,0,4,28,22,,,
913,прикладная информатика,aplikovaná informatika,,3,,0,4,28,22,,,
914,прикладная информатика,aplikovaná informatika,,3,,0,1,28,22,,,
915,прикладная информатика,aplikovaná informatika,,2,,0,4,36,22,,,
916,прикладная информатика,aplikovaná informatika,,2,,0,4,37,22,,,
917,прикладная информатика,aplikovaná informatika,,3,,0,1,37,22,,,
918,прикладная информатика,aplikovaná informatika,,2,,0,4,38,22,,,
919,прикладная информатика,aplikovaná informatika,,3,,0,1,38,22,,,
920,прикладная информатика и автоматизация в промышленности,aplikovaná informatika a automatizácia v priemysle,,3,,0,1,79,23,22,,
921,прикладная механика,aplikovaná mechanika,,2,,0,3,101,20,,,
922,прикладная механика и мехатроника,aplikovaná mechanika a mechatronika,,3,,0,1,101,20,23,,
923,прикладная механика и мехатроника,aplikovaná mechanika a mechatronika,,2,,0,3,101,20,23,,
924,прикладная мехатроника,aplikovaná mechatronika,,2,,0,3,18,23,,,
925,прикладная мехатроника и электромобильность,aplikovaná mechatronika a elektromobilita,,2,,0,3,18,23,,,
926,прикладная сетевая инженерия,aplikované sieťové inžinierstvo,,2,,0,3,39,22,,,
927,прикладная социальная работа,aplikovaná sociálna práca,,2,,0,4,43,11,,,
928,прикладная химия,aplikovaná chémia,,2,,0,4,37,27,,,
929,прикладная экология и экологизм,aplikovaná ekológia a environmentalistika,,3,,0,1,38,14,,,
930,прикладная экономика,aplikovaná ekonómia,,3,,0,1,41,2,,,
931,прикладная экономика,aplikovaná ekonómia,,2,,0,4,41,2,,,
932,прикладная экономика,aplikovaná ekonómia,,2,,0,3,80,2,,,
933,прикладная экономика,aplikovaná ekonómia,,3,,0,1,80,2,,,
934,прикладная экономика и анализ данных,aplikovaná ekonómia a analýza dát,,3,,0,1,16,2,,,
935,прикладная электротехника,aplikovaná elektrotechnika,,2,,0,3,18,21,,,
936,прикладная электротехника,aplikovaná elektrotechnika,,3,,0,1,19,21,,,
937,прикладная этика - этика управления человеком и работой,aplikovaná etika - etika riadenia ľudí a práce,,3,,0,1,67,5,,,
938,прикладная этика - этическая экспертиза и этические советы,aplikovaná etika - etická expertíza a etické poradenstvo,,2,,0,4,67,5,,,
939,прикладные геонауки,aplikované geovedy,,2,,0,4,36,15,,,
940,прикладные медиа исследования,aplikované mediálne štúdiá,,3,,0,1,27,12,,,
941,прикладные медиа исследования,aplikované mediálne štúdiá,,2,,0,4,27,12,,,
942,продуктовый дизайн,dizajn výrobkov,,4,,0,1,8,1,,,
943,производственная и экологическая техника,výrobná a environmentálna technika,,2,,0,3,101,20,,,
944,производственное оборудование и системы,výrobné zariadenia a systémy,,3,,0,1,79,20,,,
945,производственные системы и контроль качества,výrobné systémy a manažérstvo kvality,,2,,0,3,101,20,,,
946,производственные системы и контроль качества,výrobné systémy a manažérstvo kvality,,3,,0,1,101,20,,,
947,производственные технологии,výrobné technológie,,3,,0,1,79,20,,,
948,производственные технологии для автомобильной промышленности,výrobné technológie pre automobilový priemysel,,3,,0,1,104,20,,,
949,производственные технологии и управление производством,výrobné technológie a výrobný manažment,,2,,0,3,79,20,,,
950,производство аудиовизуального искусства,produkcia audiovizuálneho umenia,,2,,0,2,62,1,,,
951,производство аудиовизуального искусства,produkcia audiovizuálneho umenia,,3,,0,1,62,1,,,
952,промышленная инженерия,priemyselné inžinierstvo,,3,,0,1,102,20,,,
953,промышленная инженерия,priemyselné inžinierstvo,,2,,0,3,102,20,,,
954,промышленная инженерия,priemyselné inžinierstvo,,3,,0,1,103,20,,,
955,промышленная инженерия,priemyselné inžinierstvo,,2,,0,3,103,20,,,
956,промышленная информатика,priemyselná informatika,,3,,0,1,18,23,22,,
957,промышленная логистика,priemyselná logistika,,3,,0,1,9,30,,,
958,промышленная логистика,priemyselná logistika,,2,,0,3,9,30,,,
959,промышленная мехатроника,priemyselná mechatronika,,3,,0,1,102,20,,,
960,промышленная мехатроника,priemyselná mechatronika,,2,,0,3,102,20,,,
961,промышленная электротехника,priemyselná elektrotechnika,,3,,0,1,19,21,,,
962,промышленная электротехника,priemyselná elektrotechnika,,2,,0,3,19,21,,,
963,промышленное и исскуственное литейное производство,priemyselné a umelecké zlievárenstvo,,2,,0,3,79,20,,,
964,промышленный менеджмент,priemyselný manažment,,3,,0,1,52,20,,,
965,промышленный менеджмент,priemyselný manažment,,2,,0,3,52,20,,,
966,промышленный менеджмент,priemyselné manažérstvo,,3,,0,1,79,20,,,
967,промышленный менеджмент,priemyselné manažérstvo,,2,,0,3,79,20,,,
968,пространственное планирование,priestorové plánovanie,,3,,0,1,108,29,,,
969,пространственное планирование,priestorové plánovanie,,2,,0,3,108,29,,,
970,протезирование и ортопедика,protetika a ortotika,,3,,0,1,102,21,,,
971,процессные и экологические технологии,procesná a environmentálna technika,,3,,0,1,101,20,,,
972,психология,psychológia,,2,,0,4,43,10,,,
973,психология,psychológia,,3,,0,1,43,10,,,
974,психология,psychológia,,3,,0,1,63,10,,,
975,психология,psychológia,,2,,0,4,63,10,,,
976,психология,psychológia,,2,,0,4,64,10,,,
977,психология,psychológia,,3,,0,1,64,10,,,
978,психология,psychológia,,3,,0,1,65,10,,,
979,психология,psychológia,,2,,0,4,65,10,,,
980,психология,psychológia,,2,,0,4,66,10,,,
981,психология,psychológia,,3,,0,1,66,10,,,
982,психология,psychológia,,3,,0,1,69,10,,,
983,психология,psychológia,,2,,0,4,69,10,,,
984,психология,psychológia,,3,,0,1,70,10,,,
985,психология,psychológia,,2,,0,4,70,10,,,
986,психология,psychológia,,2,,0,4,87,10,,,
987,психология,psychológia,,3,,0,1,87,10,,,
988,работа с культурное наследием и памятниками,pamiatková starostlivosť a kultúrne dedičstvo,,3,,0,1,67,7,,,
989,радиологическая техника,rádiologická technika,,3,,0,1,56,6,,,
990,радиологическая техника,rádiologická technika,,3,,0,1,57,6,,,
991,радиоэлектроника,rádioelektronika,,2,,0,3,18,21,,,
992,развитие ребенка и изучение семьи,rozvoj dieťaťa a štúdium rodiny,,3,,0,1,59,11,,,
993,развитие сел и сельского туризма,rozvoj vidieka a vidieckeho turizmu,,3,,0,1,20,2,,,
994,развитие сел и сельского туризма,rozvoj vidieka a vidieckeho turizmu,,2,,0,3,20,2,,,
995,"региональная география, развитие регионов и европейская интеграция","regionálna geografia, rozvoj regiónov a európska integrácia",,2,,0,4,94,15,,,
996,региональное развитие и политики европейского союза,regionálny rozvoj a politiky Európskej únie,,2,,0,3,20,2,,,
997,региональное развитие и политики европейского союза,regionálny rozvoj a politiky Európskej únie,,3,,0,1,20,2,,,
998,редакция и издательсво,editorstvo a vydavateľská prax,,3,,0,1,67,3,,,
999,редакция и издательсво,editorstvo a vydavateľská prax,,2,,0,4,67,3,,,
1000,режиссура кино и телевидения. cценаристика,filmová a televízna réžia a scenáristika,,3,,0,1,13,1,,,
1001,режиссура кино и телевидения. cценаристика,filmová a televízna réžia a scenáristika,,2,,0,2,13,1,,,
1002,религия,religionistika,,2,,0,4,66,7,,,
1003,религия,religionistika,,3,,0,1,66,7,,,
1004,реставрационные работы,reštaurátorská tvorba,,2,,0,2,116,1,,,
1005,реставрационные работы,reštaurátorská tvorba,,4,,0,1,116,1,,,
1006,робототехника,robotika,,2,,0,3,18,23,,,
1007,робототехника и кибернетика,robotika a kybernetika,,3,,0,1,18,23,,,
1008,робототехника и кибернетика,robotika a kybernetika,,2,,0,3,18,23,,,
1009,робототехника и робототехнологии,robotika a robototechnológie,,2,,0,3,102,20,,,
1010,романские исследования,románske štúdiá,,2,,0,4,66,3,,,
1011,романские исследования,románske štúdiá,,3,,0,1,66,3,,,
1012,российский язык в межкультурном и коммерческом общении,ruský jazyk v interkultúrnej a obchodnej komunikácii,,3,,0,1,67,3,,,
1013,российский язык в межкультурном и коммерческом общении,ruský jazyk v interkultúrnej a obchodnej komunikácii,,2,,0,4,67,3,,,
1014,русистика,ruské štúdiá,,2,,0,4,64,3,,,
1015,русистика,ruské štúdiá,,3,,0,1,64,3,,,
1016,русские и восточно-европейские исследования,ruské a východoeurópske štúdiá,,3,,0,1,66,3,,,
1017,русские и восточно-европейские исследования,ruské a východoeurópske štúdiá,,2,,0,4,66,3,,,
